iter	Passed	Remaining
910	2969	290
911	2971	286
912	2973	283
913	3023	284
914	3049	283
915	3051	279
916	3054	276
917	3070	274
918	3076	271
919	3103	269
920	3106	266
921	3110	263
922	3119	260
923	3123	256
924	3130	253
925	3133	250
926	3159	248
927	3162	245
928	3164	241
929	3174	238
930	3176	235
931	3181	232
932	3183	228
933	3186	225
934	3198	222
935	3200	218
936	3204	215
937	3268	216
938	3270	212
939	3277	209
940	3279	205
941	3281	202
942	3282	198
943	3284	194
944	3286	191
945	3289	187
946	3290	184
947	3292	180
948	3294	177
949	3295	173
950	3297	169
951	3299	166
952	3300	162
953	3308	159
954	3310	156
955	3314	152
956	3316	148
957	3323	145
958	3326	142
959	3329	138
960	3332	135
961	3342	132
962	3344	128
963	3346	124
964	3348	121
965	3355	118
966	3356	114
967	3358	111
968	3360	107
969	3361	103
970	3363	100
971	3369	97
972	3371	93
973	3372	90
974	3374	86
975	3376	83
976	3378	79
977	3380	76
978	3381	72
979	3383	69
980	3384	65
981	3386	62
982	3388	58
983	3390	55
984	3394	51
985	3397	48
986	3400	44
987	3403	41
988	3405	37
989	3406	34
990	3409	30
991	3411	27
992	3412	24
993	3414	20
994	3415	17
995	3417	13
996	3419	10
997	3426	6
998	3427	3
999	3429	0
